pi,amnt,payment,merch
4,2.9,1,1
4,153,1,10
7,141.02,1,8
7,97.33,1,10
7,101.14,1,2
7,21.48,1,8
NA,5,0,NA
2,1700,1,15
3,181.26,1,5
3,45.34,1,7
11,100,1,15
NA,2,0,NA
11,250,1,15
11,250,1,15
2,570.7,1,6
4,42.65,1,2
NA,100,0,NA
NA,9,0,NA
3,66.77,1,16
4,5.42,1,5
4,167.86,1,1
3,32.23,1,5
NA,88,0,NA
3,19.5,1,2
1,1,1,6
5,12.85,1,5
4,39,1,19
6,146.8,1,8
3,40,1,18
3,36.47,1,5
6,50,1,5
NA,1600,0,NA
3,11.46,1,5
6,340.2,1,18
3,36,1,2
4,163,1,1
4,38.76,1,2
3,1851.98,1,18
3,40,1,3
4,252.5,1,19
4,2,1,1
3,48.58,1,2
13,7,1,21
1,4.15,1,4
4,24.35,1,1
4,83.65,1,5
4,15,1,1
3,69.01,1,2
4,6.47,1,4
3,21.99,1,5
14,22.26,1,1
3,28.95,1,1
1,3,1,17
7,650,1,6
3,9.95,1,5
7,222.22,1,10
3,108.2,1,5
1,5.52,1,5
4,10.88,1,4
1,16,1,1
4,50,1,17
3,75.94,1,1
3,70.66,1,1
1,20,1,16
1,10,1,4
3,32,1,21
7,179,1,15
1,19.99,1,1
1,6.08,1,1
NA,200,0,NA
1,12.69,1,4
3,23,1,4
4,62,1,5
4,54.6,1,1
3,112.6,1,1
3,54.51,1,1
NA,60,0,NA
6,19.95,1,20
1,2.99,1,5
1,25.52,1,5
3,18,1,5
4,25.1,1,4
6,2132,1,15
1,4,1,4
NA,91.05,0,NA
6,22,1,16
3,41.88,1,1
NA,300,0,NA
3,5,1,1
4,36,1,1
6,20,1,16
1,2,1,16
1,1,1,5
4,56.11,1,2
7,25.4,1,18
4,6.65,1,2
3,110.09,1,1
4,33.05,1,1
3,24.85,1,3
13,34,1,4
4,26,1,3
1,7,1,16
1,4,1,4
3,31.25,1,3
3,41.87,1,4
4,9.68,1,18
3,10,1,4
3,181.27,1,1
1,1.5,1,4
3,9.56,1,4
4,8.79,1,4
1,25,1,1
4,135.68,1,1
1,2,1,1
3,21.17,1,3
4,30,1,6
4,26.02,1,5
4,22.38,1,4
1,0.5,1,16
3,29.9,1,2
7,160.17,1,10
4,81.18,1,2
1,7,1,4
1,6.27,1,1
6,75,1,16
1,2.48,1,1
3,11.97,1,5
4,300,1,8
4,100,1,8
5,21,1,3
1,8,1,4
4,50,1,17
6,341.17,1,18
4,16.71,1,3
1,2.1,1,4
4,9.47,1,4
3,75,1,7
10,12,1,16
1,15,1,7
4,36.44,1,1
2,1543.23,1,19
3,53.22,1,2
4,33.98,1,3
3,40.31,1,3
6,95,1,8
6,50,1,8
4,32.17,1,1
1,30,1,5
3,34,1,4
13,2.5,1,21
4,2.5,1,1
2,570,1,14
NA,150,0,NA
4,4.62,1,1
NA,240,0,NA
4,13.98,1,3
7,500,1,15
1,8,1,4
4,40,1,18
4,85.56,1,5
4,123.68,1,5
4,129,1,15
1,20,1,1
4,7.59,1,1
3,50.63,1,5
4,24.23,1,1
4,23.51,1,5
4,29.68,1,3
6,69.03,1,10
3,93.25,1,1
5,4.98,1,4
6,150.73,1,15
4,199.99,1,5
3,110.44,1,1
3,25,1,1
3,155.04,1,5
3,27.3,1,3
4,23.52,1,1
3,56.93,1,5
3,12.72,1,5
3,168.24,1,5
1,21,1,2
4,8.98,1,1
4,5.62,1,4
3,263.75,1,5
3,96.79,1,1
3,13.71,1,3
11,0.75,1,21
4,1.8,1,1
1,60,1,3
3,2.38,1,5
1,35.47,1,5
4,48.92,1,2
4,7.49,1,5
3,60.06,1,2
NA,6,0,NA
3,17,1,1
4,22.14,1,1
4,7,1,1
4,77.74,1,2
4,8,1,6
3,83.6,1,14
3,66.94,1,5
3,63.36,1,5
1,40,1,2
NA,2,0,NA
3,35,1,10
4,22,1,2
1,7.5,1,16
1,16,1,4
3,150.45,1,1
4,17.05,1,3
3,25.05,1,2
1,18.65,1,5
4,12.75,1,6
4,31.5,1,10
4,26.25,1,2
3,35,1,9
4,2,1,5
1,15.99,1,2
6,10,1,16
NA,100,0,NA
4,21.82,1,9
1,7.15,1,1
NA,100,0,NA
4,13.04,1,6
1,15,1,16
4,39.17,1,18
3,20,1,18
1,25,1,1
3,58.42,1,1
4,75.26,1,5
3,6.41,1,5
5,23.65,1,1
3,31.92,1,2
3,51.57,1,2
4,12.3,1,4
1,1.5,1,2
4,6.47,1,5
4,11,1,5
4,18,1,4
3,20,1,1
4,1,1,5
3,247.39,1,10
1,18.24,1,1
4,57.49,1,18
4,18.5,1,1
4,34.84,1,2
1,60,1,1
NA,10,0,NA
4,75.58,1,1
5,22.22,1,1
4,22.48,1,4
3,18.92,1,4
3,17.32,1,18
4,55.94,1,3
3,41,1,2
3,57.2,1,3
4,30.61,1,1
3,79.75,1,19
4,52,1,13
3,183.09,1,4
4,10.93,1,1
4,43,1,17
4,36.67,1,1
1,12,1,16
4,112.14,1,1
3,32.3,1,3
4,15.92,1,2
NA,400,0,NA
13,1,1,21
3,54.2,1,2
3,32.35,1,2
4,26.14,1,20
4,63.99,1,1
4,58,1,1
1,9.6,1,2
1,20,1,2
4,20.09,1,4
4,37,1,5
4,4.56,1,4
4,116.5,1,8
6,100,1,5
3,24.5,1,4
11,300,1,15
2,34,1,16
3,73,1,5
4,97.04,1,5
4,204,1,5
4,42,1,2
4,20.02,1,2
4,12.57,1,1
4,285.04,1,18
1,20,1,16
3,2.75,1,21
4,20,1,18
5,1.9,1,21
4,4.55,1,4
4,32.85,1,1
3,17,1,6
1,25.21,1,1
3,11.75,1,5
3,130.6,1,18
4,22,1,5
6,15,1,16
4,14.34,1,5
4,16,1,5
4,18.63,1,1
4,55.7,1,7
4,14.92,1,9
NA,117,0,NA
3,16.32,1,1
1,225,1,7
4,42,1,2
4,15.76,1,1
4,57.76,1,1
3,10.31,1,1
6,1200,1,14
4,75,1,10
4,40,1,1
NA,400,0,NA
NA,20,0,NA
NA,15,0,NA
4,72.26,1,2
NA,100,0,NA
7,210.79,1,8
7,46,1,8
4,19.55,1,1
1,12,1,2
3,70.7,1,1
4,32.38,1,3
NA,10,0,NA
4,148,1,1
1,3.5,1,1
1,10.47,1,4
6,85,1,15
4,8.58,1,4
1,4.22,1,2
6,6,1,16
4,47.95,1,1
3,36.68,1,5
4,28,1,1
4,50.49,1,5
3,45.5,1,2
6,74,1,5
4,21.6,1,5
13,0.75,1,21
4,33,1,4
3,15.09,1,5
1,12,1,4
3,25.47,1,4
3,2.2,1,21
3,30.02,1,2
3,89.27,1,5
3,17.19,1,4
4,25.62,1,5
1,14.82,1,4
3,116.53,1,5
7,60,1,4
11,1000,1,16
4,19.59,1,2
3,33,1,4
4,5.55,1,1
1,5,1,16
4,48,1,4
4,100,1,5
1,20,1,17
3,74.47,1,13
1,22,1,17
4,51.4,1,1
3,42.62,1,4
3,6.56,1,5
3,21.93,1,4
4,136.39,1,5
4,10,1,4
4,66.12,1,1
3,84.78,1,13
6,453.41,1,15
4,22,1,2
3,16,1,1
4,4.21,1,1
7,39.25,1,8
3,47.14,1,5
4,88.04,1,2
4,17.11,1,1
4,35,1,2
4,22.98,1,1
4,52.78,1,3
1,35,1,3
1,4.05,1,1
4,84.08,1,1
4,3.44,1,4
3,17.52,1,5
10,17,1,16
3,99.25,1,3
3,66.35,1,1
6,25,1,8
6,32.75,1,4
7,427.25,1,15
4,74.86,1,5
3,41.25,1,4
13,100,1,16
3,45,1,5
4,33.67,1,5
3,24,1,3
3,19.84,1,3
3,17,1,3
3,135.8,1,5
13,48.65,1,2
4,14,1,1
4,51.01,1,2
3,18.49,1,1
4,37.13,1,4
3,36.05,1,3
3,189.6,1,10
7,100,1,8
13,7,1,21
NA,100,0,NA
4,42.25,1,1
4,57,1,3
NA,18,0,NA
1,27.5,1,16
4,25.25,1,4
3,30,1,5
4,22.76,1,2
4,225,1,10
4,206.83,1,1
3,47.97,1,5
3,5.48,1,4
2,1169.61,1,15
3,60,1,5
1,120,1,6
3,68,1,3
4,22.9,1,2
3,32,1,5
NA,34,0,NA
7,635.37,1,15
4,31.2,1,3
4,9.61,1,4
4,83.22,1,1
4,73.03,1,5
3,26.2,1,2
3,10,1,3
3,49.89,1,5
4,52.09,1,13
3,9.25,1,4
7,157.16,1,8
7,169.22,1,8
7,44.99,1,8
7,157.93,1,8
7,45.3,1,8
7,45.9,1,8
4,70,1,16
3,8.66,1,5
6,66.34,1,10
7,101.5,1,10
4,14.41,1,5
4,35,1,6
3,75.87,1,2
3,45.56,1,5
3,34,1,3
11,250,1,15
7,25,1,18
11,3.3,1,15
1,1,1,9
3,175.95,1,5
7,88,1,8
7,157.7,1,8
7,5.99,1,10
11,150,1,15
11,28.7,1,15
6,452.61,1,12
4,7.55,1,5
4,43.19,1,5
4,75.53,1,1
4,42,1,16
4,75,1,10
0,6,1,5
1,2,1,5
1,100,1,7
8,89,1,17
6,79.6,1,10
3,45,1,1
7,388.23,1,15
4,20.7,1,5
3,313,1,8
7,87.87,1,10
3,6.63,1,1
4,45,1,18
7,247,1,18
7,10,1,15
5,10.38,1,5
3,26,1,3
3,24.24,1,3
1,7,1,21
6,2949.67,1,15
4,52.35,1,5
1,16,1,4
4,10.87,1,4
0,1005,1,14
7,2235.38,1,15
3,53.74,1,15
4,10.74,1,1
4,12.79,1,5
4,25.61,1,2
4,26.64,1,5
4,45.45,1,5
1,7,1,1
4,15,1,2
4,15.46,1,3
7,975,1,14
7,209.21,1,14
4,34.45,1,3
1,10,1,1
NA,0,0,NA
3,13.56,1,8
1,5,1,7
7,154,1,15
4,150,1,15
4,6,1,4
3,37.41,1,10
3,68.53,1,1
4,5,1,1
4,11.61,1,4
1,10,1,5
3,17,1,1
NA,200,0,NA
1,16,1,4
1,4,1,2
7,32.82,1,8
3,6.65,1,4
4,25,1,4
4,4,1,2
3,60,1,2
4,3.1,1,18
6,50,1,16
1,9.77,1,3
4,9.54,1,4
4,100,1,17
6,37,1,10
6,625,1,15
14,3,1,4
3,3.43,1,4
4,32.49,1,2
1,6,1,1
NA,40,0,NA
4,206,1,1
3,16.78,1,4
4,36.66,1,5
4,32.64,1,1
3,21.5,1,1
3,3.45,1,1
6,209,1,8
4,6.45,1,4
4,18.27,1,4
3,48.99,1,10
3,16.19,1,10
7,30.3,1,10
4,1.8,1,1
6,46499,1,15
3,552.07,1,5
4,86.83,1,8
4,231,1,10
3,11.21,1,3
1,15,1,16
1,57.21,1,1
4,4,1,4
3,98,1,1
3,57,1,2
13,2.18,1,1
1,1.59,1,1
NA,60,0,NA
4,4.19,1,4
4,23.81,1,4
4,89,1,10
1,2,1,16
1,10.75,1,1
6,89,1,6
7,135,1,15
4,37,1,2
6,510.3,1,15
3,28.75,1,2
4,32.5,1,5
7,14.33,1,8
7,43.32,1,5
NA,50,0,NA
4,22.16,1,5
6,250,1,15
4,18.3,1,1
4,18.99,1,15
3,56.61,1,2
1,5,1,2
4,50,1,15
6,120,1,7
1,20,1,16
4,296,1,15
5,1.7,1,21
1,11.45,1,5
4,6.88,1,1
4,89.96,1,10
4,45,1,4
4,8.65,1,5
3,11,1,4
4,11.05,1,4
1,6.23,1,1
NA,300,0,NA
NA,300,0,NA
1,6.72,1,5
3,10.75,1,8
6,6,1,16
4,2.29,1,1
4,15,1,16
7,30.88,1,5
2,211,1,5
6,25,1,17
2,400,1,15
2,350,1,2
3,53,1,2
3,57,1,3
4,56,1,1
3,13.85,1,1
4,10.59,1,7
4,460,1,15
3,1338.39,1,8
2,250,1,16
3,22.45,1,3
NA,20,0,NA
4,2,1,1
NA,0,0,NA
NA,0,0,NA
3,14.28,1,3
1,58.48,1,1
3,1114,1,5
1,3,1,1
1,15,1,13
4,13.65,1,1
3,11.45,1,1
3,52,1,2
3,4.45,1,4
3,100,1,10
4,216.91,1,14
13,4,1,1
5,71.28,1,1
7,218,1,15
4,28.12,1,5
4,20,1,18
4,13.65,1,4
3,34.07,1,1
3,38.49,1,2
6,12.99,1,10
3,17.23,1,5
4,10,1,16
0,76,1,2
1,300,1,16
4,90,1,1
3,9.5,1,4
2,83.06,1,8
7,91.68,1,10
3,58.58,1,5
6,55,1,6
3,20,1,8
4,200,1,1
3,12.35,1,4
6,29,1,5
3,32.15,1,1
2,2000,1,11
4,21.38,1,5
4,36.12,1,5
10,25,1,18
NA,50,0,NA
5,15.8,1,4
4,26.52,1,5
4,130,1,15
2,12.48,1,18
3,50,1,5
3,81.904,1,5
4,37.51,1,2
1,2.17,1,4
3,79.99,1,10
6,1745,1,14
6,1345,1,15
1,1,1,6
4,56.73,1,1
3,243.76,1,5
3,49.48,1,2
3,23.25,1,4
3,136.73,1,1
3,39.99,1,3
1,30,1,16
4,173,1,14
1,75,1,1
4,20,1,2
3,67.69,1,4
3,105.35,1,1
3,1,1,4
3,94,1,3
3,54,1,2
4,61.31,1,5
4,247,1,1
4,35.53,1,5
14,6,1,4
1,5,1,4
4,245.74,1,5
3,7.02,1,4
3,181.94,1,1
4,5,1,4
3,150,1,5
4,21.1,1,4
1,10,1,16
3,30.49,1,2
1,10,1,4
3,4.66,1,4
1,10,1,16
11,350,1,16
3,20,1,3
4,11,1,17
NA,50,0,NA
NA,600,0,NA
1,42,1,4
5,55.44,1,5
3,20,1,4
1,5,1,4
3,192.18,1,1
4,120,1,9
3,260,1,3
4,100,1,1
4,10,1,1
4,31.85,1,1
2,50,1,8
1,600,1,16
3,27.21,1,1
1,10.46,1,1
7,100,1,15
NA,6000,0,NA
4,7.96,1,1
5,2.79,1,1
3,52.76,1,3
10,42,1,16
1,7,1,7
1,4,1,7
4,24.2,1,4
4,35.13,1,3
3,23.69,1,5
3,9.99,1,4
4,54.24,1,1
1,4.05,1,4
3,17,1,7
3,59.48,1,5
1,7,1,21
1,7,1,21
3,40,1,18
3,52,1,2
6,30,1,6
4,6000,1,15
7,95.36,1,8
7,148.78,1,10
3,130,1,5
3,31.14,1,5
3,79.99,1,10
4,58.86,1,6
4,10.71,1,5
6,50,1,8
6,302,1,15
4,35,1,7
3,271.6,1,5
4,24,1,4
1,60,1,7
13,2,1,8
3,14,1,10
NA,650,0,NA
1,10,1,3
NA,105,0,NA
3,41.6,1,5
2,11143.24,1,19
1,5.3,1,5
3,57.39,1,1
1,1.5,1,4
4,79.53,1,2
3,15,1,4
5,9.08,1,1
4,23.17,1,5
2,62.46,1,6
4,97.02,1,1
3,94.55,1,5
NA,2,0,NA
2,52.75,1,5
4,12.48,1,4
NA,200,0,NA
NA,250,0,NA
3,9.38,1,1
1,20,1,3
1,20,1,2
3,37,1,2
4,46.15,1,1
1,5.06,1,5
7,900,1,15
3,110,1,15
4,43,1,5
1,20,1,1
7,18.25,1,6
4,26,1,1
4,50,1,2
1,24,1,3
4,33.04,1,4
11,1497.03,1,15
NA,2235.38,0,NA
1,44,1,2
1,10,1,4
4,11.83,1,4
3,6.58,1,8
4,19,1,5
4,25,1,18
2,249.64,1,8
1,7.01,1,19
1,21,1,3
3,16,1,5
4,5.72,1,5
3,152.9,1,5
3,21.05,1,7
1,4.96,1,1
3,16.31,1,2
4,64.49,1,5
4,16.4,1,4
3,78,1,6
7,11,1,7
4,5.22,1,5
2,135,1,14
1,2,1,1
13,15,1,21
3,10.96,1,5
NA,50,1,2
6,150,1,8
4,48,1,7
1,20,1,6
NA,200,0,NA
4,20,1,18
11,450,1,15
4,80.03,1,10
1,12,1,17
3,58.89,1,2
13,5.75,1,21
3,50.75,1,3
3,9.57,1,2
5,10,1,4
5,6.14,1,1
4,32.16,1,4
NA,65,0,NA
1,33.59,1,1
4,81,1,2
3,98.5,1,19
10,20,1,16
3,84.39,1,5
4,6.27,1,4
4,7.03,1,4
3,29.99,1,5
4,55,1,2
NA,50,0,NA
4,57.25,1,2
4,7.45,1,1
0,42.65,1,5
2,300,1,15
4,78.6,1,5
4,51,1,12
4,2.75,1,4
3,43,1,3
10,155,1,16
3,10.76,1,4
1,20,1,5
3,20.57,1,1
3,10.45,1,5
3,37,1,1
3,29.25,1,3
1,6,1,5
3,62,1,1
3,55.4,1,2
2,145,1,8
4,150,1,2
1,7,1,5
2,525,1,12
4,150,1,1
7,74.99,1,10
4,16.36,1,5
1,40,1,1
3,248,1,5
3,25,1,5
1,25,1,16
4,500,1,15
1,45,1,2
4,24.95,1,2
1,18.25,1,5
3,20.86,1,4
7,25.97,1,8
6,400,1,16
3,79.16,1,1
1,14.28,1,4
4,175,1,6
4,13.34,1,1
3,20.45,1,4
4,62.24,1,1
4,133,1,5
4,25,1,2
4,68,1,1
4,35.33,1,1
4,25.9,1,5
3,9.38,1,2
4,60,1,2
4,53.87,1,2
1,30,1,1
1,30,1,3
6,283.5,1,14
4,11.76,1,1
4,52.69,1,1
3,34,1,1
1,56.26,1,4
3,51.45,1,3
5,1.7,1,21
3,23,1,3
4,32,1,5
1,12,1,4
4,45,1,4
4,862.58,1,6
1,200,1,16
1,7.5,1,4
3,62,1,1
3,75,1,2
3,10,1,4
4,101,1,2
4,32.53,1,4
3,25.51,1,2
3,30.76,1,5
4,14,1,3
3,65,1,6
6,98,1,20
1,13,1,4
4,75.38,1,1
NA,50,0,NA
1,24,1,2
1,20,1,5
1,1,1,6
13,2.44,1,7
4,33.95,1,1
NA,277.73,0,NA
1,6.16,1,4
4,14.56,1,7
4,6.5,1,4
4,8.61,1,1
4,5.38,1,1
4,128,1,20
3,105.72,1,5
3,4.75,1,2
3,45.61,1,4
3,21.03,1,5
6,49.67,1,2
3,21.54,1,1
NA,2,0,NA
4,12.99,1,5
4,103.37,1,5
3,7.2,1,4
4,23.52,1,4
NA,120,0,NA
3,20.55,1,1
3,4.29,1,1
1,20,1,7
3,44,1,4
3,157,1,1
3,52,1,4
1,14,1,4
3,13,1,5
3,54.85,1,5
3,93.5,1,3
5,27.72,1,4
6,67.47,1,10
3,60,1,4
3,20.92,1,5
NA,47,0,NA
3,160,1,1
3,129.95,1,13
1,21,1,7
3,45,1,2
11,200,1,15
3,31.25,1,3
3,24,1,3
3,58.4,1,3
3,9.73,1,10
3,34.49,1,1
1,22,1,20
1,5,1,16
4,10.22,1,2
4,10.16,1,3
4,72.19,1,3
4,8,1,2
3,80.84,1,7
4,100.15,1,20
3,77,1,3
4,15,1,4
3,4.83,1,1
1,2.59,1,2
3,135.23,1,1
1,14,1,4
1,15,1,7
3,39,1,1
1,3,1,21
1,21,1,3
4,35,1,4
4,109.28,1,5
3,13.7,1,1
3,20,1,3
4,19.01,1,3
5,11,1,17
0,49.08,1,3
3,14.37,1,2
1,7,1,20
3,308,1,5
4,12,1,4
2,31.5,1,3
3,105.13,1,5
4,81.57,1,3
0,27.53,1,3
4,49.05,1,3
3,29,1,5
NA,140,0,NA
3,87.65,1,3
3,40.04,1,5
NA,50,0,NA
3,47.86,1,3
6,2,1,16
NA,37,0,NA
4,8,1,16
3,97.31,1,3
4,123.08,1,5
3,27,1,1
3,30.63,1,4
3,22,1,9
1,15,1,2
3,150,1,3
4,8.2,1,1
3,45,1,3
4,18,1,5
3,2.28,1,1
3,13.74,1,4
1,23,1,1
4,24.37,1,1
3,30.85,1,9
3,50,1,3
3,29.81,1,4
4,146.27,1,5
6,80,1,16
NA,0,0,NA
3,13.86,1,5
4,24.97,1,3
4,46.28,1,4
4,113,1,3
3,12,1,9
0,27.62,1,1
7,302.76,1,15
1,8,1,1
4,20,1,20
3,35,1,4
1,20,1,3
11,1571,1,15
1,4,1,7
1,2,1,17
2,259,1,19
4,22.33,1,4
3,110.32,1,3
5,2.69,1,4
6,100,1,16
3,115,1,6
4,25,1,15
4,7.41,1,5
3,19.5,1,5
4,47.45,1,1
NA,280,0,NA
NA,280,0,NA
4,8.87,1,4
6,5,1,16
1,6,1,16
6,55.15,1,5
NA,100,0,NA
7,45,1,17
NA,300,0,NA
4,4.21,1,4
NA,50,0,NA
1,10,1,2
4,56,1,3
3,58.44,1,2
1,40,1,20
3,162,1,5
4,100,1,16
4,100,1,10
3,26,1,10
3,28,1,16
1,15,1,1
1,10,1,4
4,200,1,5
1,25,1,6
3,48.42,1,3
3,55.25,1,3
1,8.99,1,1
4,2.99,1,5
7,165,1,10
7,98.95,1,10
3,40,1,21
3,10.65,1,10
4,30,1,3
4,18,1,1
6,146.5,1,20
NA,60,1,8
3,20,1,3
4,55,1,4
6,103.88,1,15
6,7.99,1,10
4,150,1,15
4,100,1,15
3,4.99,1,10
4,30,1,6
5,7.5,1,6
1,20,1,16
7,15.49,1,10
1,2,1,4
3,15.16,1,10
4,150,1,1
4,18.19,1,12
7,5000,1,15
6,1309.82,1,15
4,19.99,1,10
4,13.5,1,5
4,27.33,1,4
4,90.63,1,4
4,4.82,1,5
1,8,1,16
1,3,1,4
1,5,1,4
3,227,1,1
3,15.07,1,4
4,8.84,1,4
4,30,1,2
1,1,1,1
3,78.5,1,3
NA,5,0,NA
3,93.05,1,3
3,18.97,1,5
3,12.5,1,4
4,19.55,1,1
NA,0,0,NA
4,4.69,1,4
4,6.25,1,4
4,69,1,3
4,30,1,4
4,91.81,1,10
3,8.33,1,4
3,69.99,1,10
3,70,1,2
7,345,1,8
7,518.7,1,15
1,10,1,1
1,18,1,4
4,22.28,1,3
4,1.07,1,4
13,21.65,1,5
3,24.41,1,2
3,454.9,1,1
1,6.5,1,4
3,64.23,1,1
4,29.61,1,5
1,10.9,1,3
4,43.76,1,1
4,13.81,1,4
3,1.99,1,5
3,5.42,1,4
7,91.09,1,8
3,47.68,1,4
4,32,1,4
7,1200,1,15
NA,150,0,NA
4,11.82,1,4
4,36.26,1,3
4,49.02,1,2
3,159.17,1,5
3,142.46,1,13
4,12.4,1,4
NA,25,0,NA
3,10.81,1,10
3,108,1,12
3,37.31,1,5
3,10.96,1,10
1,0.72,1,4
3,300,1,20
3,3.5,1,2
1,5.2,1,1
10,250,1,20
4,75,1,16
1,20,1,6
6,366.19,1,5
3,88.85,1,5
4,43.96,1,5
3,55.21,1,1
1,17.11,1,1
4,26.63,1,4
1,25,1,3
NA,15,0,NA
3,31.73,1,1
4,6,1,1
3,23.47,1,10
1,10,1,2
8,600,1,19
1,6.93,1,1
3,21.41,1,9
3,75.8,1,1
4,12.41,1,1
13,0.7,1,21
1,40,1,2
4,145.34,1,10
1,7.17,1,4
3,25.44,1,5
4,391,1,15
3,67.05,1,5
3,357.36,1,1
1,28,1,2
2,49,1,10
3,60.11,1,2
3,185.14,1,5
4,118,1,5
1,16,1,1
4,37.5,1,4
4,23.45,1,1
6,2828,1,19
7,100,1,15
6,100,1,5
7,223,1,8
4,37,1,5
6,55.63,1,15
3,41.15,1,2
4,61,1,5
3,58.8,1,5
7,285,1,15
1,7,1,16
3,34.77,1,2
3,41.9,1,5
4,29.5,1,3
1,9,1,4
1,6.62,1,4
3,92.45,1,1
3,47,1,2
4,20.08,1,5
4,45,1,5
4,38.48,1,5
NA,0,0,NA
3,78,1,5
NA,0,0,NA
3,14.28,1,4
4,24,1,12
7,2100,1,13
3,314.06,1,5
2,24.64,1,8
3,321,1,1
1,13.18,1,1
3,56.77,1,2
1,80,1,1
1,11.29,1,2
4,22,1,4
3,21,1,5
7,839.27,1,15
3,87.21,1,5
3,30.18,1,1
3,5000,1,18
4,24,1,6
1,20,1,16
3,43.05,1,1
4,10.7,1,12
3,39.53,1,7
4,78,1,2
3,51.25,1,1
1,10,1,2
NA,50,0,NA
3,69.45,1,1
4,29.11,1,5
NA,12,0,NA
NA,5,0,NA
1,231,1,5
1,20,1,7
7,2234.04,1,15
1,50,1,7
NA,500,0,NA
1,8,1,21
1,20,1,5
3,18.21,1,1
NA,9,0,NA
3,126.58,1,5
1,15.8,1,4
1,66,1,16
1,20,1,7
4,14.15,1,4
4,53.53,1,2
1,16.54,1,1
4,10,1,16
7,38,1,5
3,11.95,1,5
6,50,1,15
3,118.8,1,10
3,12.92,1,1
3,75,1,16
3,33.28,1,3
2,73.75,1,6
3,39,1,1
3,2,1,21
1,38,1,1
4,413.61,1,5
3,30.76,1,5
4,15,1,4
4,10.59,1,4
4,87.86,1,5
3,15.75,1,4
4,39.01,1,3
1,5,1,17
1,40,1,3
4,30,1,2
3,110.49,1,1
1,5,1,17
3,135.61,1,5
4,29.26,1,5
4,8.75,1,5
1,40,1,2
3,252,1,5
4,85.71,1,1
1,18,1,4
1,29,1,2
3,2.49,1,4
1,8,1,4
4,132.15,1,1
5,38,1,1
1,95,1,1
3,210.1,1,10
3,31,1,3
1,40,1,4
4,123.98,1,5
3,13.2,1,5
4,17.16,1,1
3,170,1,3
1,5,1,1
4,10.99,1,5
1,12,1,5
2,61.5,1,1
4,34.37,1,3
3,30.29,1,3
4,75,1,10
1,100,1,16
4,51,1,6
1,5,1,6
3,20,1,3
1,17,1,4
0,22,1,6
1,7.72,1,4
2,30.3,1,18
3,41.67,1,3
6,30,1,16
3,5.13,1,4
1,1,1,4
3,12,1,1
1,15,1,3
7,93.84,1,10
1,15.02,1,4
NA,40,0,NA
3,10.71,1,4
4,15.91,1,5
4,60.21,1,3
3,143.76,1,1
3,62.25,1,5
4,200,1,1
1,58.5,1,1
3,24.29,1,2
7,5238.79,1,15
1,40,1,4
7,632.61,1,15
NA,30,0,NA
NA,0,0,NA
3,21.47,1,9
4,6,1,2
3,49.5,1,1
4,11.67,1,2
4,8.47,1,6
5,4.97,1,4
4,10.76,1,2
4,51,1,2
3,43,1,5
6,341.24,1,15
4,10.79,1,5
3,124.55,1,1
3,57.03,1,3
3,40,1,1
1,43,1,3
4,60,1,6
3,99.6,1,5
4,21,1,1
4,205.57,1,1
3,120,1,3
3,63,1,5
3,15.41,1,5
6,189,1,15
4,8,1,6
1,35,1,3
4,10.21,1,1
3,130.44,1,5
4,18.53,1,1
5,23,1,1
4,11,1,2
2,70,1,11
4,32,1,2
3,47.39,1,5
4,23.13,1,2
1,20,1,2
1,5.23,1,5
3,59.77,1,3
4,49.2,1,20
4,5,1,5
4,130,1,20
1,14.86,1,1
4,67.41,1,2
4,54,1,3
3,90,1,3
1,39,1,1
6,25,1,16
3,576,1,5
4,40.74,1,2
3,35,1,4
1,2.75,1,21
3,183.27,1,1
3,751,1,6
1,45,1,3
3,56.45,1,5
3,15.37,1,1
4,92.46,1,1
1,45,1,2
4,11,1,4
3,24.99,1,2
1,10,1,7
4,5,1,4
1,25.05,1,5
4,20,1,3
NA,2,0,NA
4,5,1,21
1,15,1,4
3,28.02,1,5
3,87.59,1,5
4,23.35,1,3
3,62.58,1,1
1,5.99,1,1
1,4,1,3
4,9.37,1,4
3,94.15,1,3
NA,40,0,NA
4,20,1,2
3,15,1,1
4,14.51,1,5
2,70,1,17
3,4.38,1,3
3,9,1,12
3,36,1,6
NA,8,0,NA
3,23.96,1,2
3,137.49,1,5
1,10,1,2
3,186.5,1,1
3,49.45,1,5
3,31,1,2
5,5.58,1,4
1,3.05,1,4
4,43,1,2
4,4,1,4
1,30,1,16
3,50,1,7
3,28.56,1,1
6,34,1,16
3,13,1,1
3,187.78,1,1
1,40,1,3
4,53.48,1,5
4,30,1,7
6,43.71,1,5
1,3,1,4
4,34.75,1,7
3,2.99,1,4
6,20,1,16
2,50,1,16
3,499,1,5
4,23.49,1,1
3,170,1,13
3,7.08,1,1
4,20.42,1,4
3,33.55,1,5
4,73,1,2
3,56.82,1,1
3,11,1,4
4,6.3,1,4
4,51.69,1,1
1,20,1,16
4,44.44,1,1
4,58.47,1,1
4,10.03,1,1
3,23,1,7
3,30.5,1,7
3,51.95,1,2
4,5.49,1,1
1,7,1,1
1,1.9,1,2
4,1.5,1,1
3,16.32,1,5
4,75,1,5
3,19,1,3
3,48.8,1,2
4,15,1,4
3,5,1,2
1,20,1,5
3,25.23,1,1
4,21,1,1
5,54,1,1
4,28.88,1,3
4,61.95,1,1
