pi,amnt,payment,merch
13,4.1,1,6
4,92,1,5
3,10.5,1,4
2,100.19,1,16
3,24.98,1,5
1,2,1,4
3,70,1,6
1,2,1,21
4,16,1,3
5,0.9,1,21
1,10.58,1,5
3,80,1,6
4,12,1,1
3,601,1,9
3,32.94,1,1
4,92,1,1
4,17,1,1
4,29,1,19
1,28,1,6
3,19.14,1,7
3,8.86,1,1
4,30.17,1,5
3,102,1,17
1,40,1,1
3,9.68,1,4
3,13.15,1,4
1,50,1,3
NA,550,0,NA
NA,19.21,0,NA
7,84.27,1,8
1,5.23,1,1
4,65.55,1,1
NA,140,0,NA
3,1,1,21
3,40.95,1,2
3,8.51,1,7
NA,20,0,NA
3,6.38,1,7
4,42.37,1,3
1,19.89,1,4
NA,60,0,NA
4,60,1,16
7,2389.33,1,15
4,25.79,1,1
4,52.53,1,1
4,11.25,1,4
1,15,1,1
3,18.78,1,1
1,5,1,3
NA,100,0,NA
4,44.23,1,3
NA,0,0,NA
NA,0,0,NA
NA,0,0,NA
NA,0,0,NA
5,35.47,1,3
3,19.16,1,4
3,225.25,1,1
1,170,1,16
NA,50,0,NA
NA,60,0,NA
3,13.83,1,7
1,11.23,1,4
3,48.35,1,3
4,11.74,1,4
1,13,1,3
3,77.48,1,3
3,55,1,6
7,87.1,1,8
7,126.8,1,8
3,17.8,1,4
3,60.51,1,5
1,16,1,5
4,28.56,1,4
3,103.36,1,1
3,9.63,1,1
4,66.29,1,5
0,22.18,1,5
4,80,1,3
6,207,1,8
3,3.35,1,4
4,12.99,1,3
1,11,1,4
3,48.59,1,5
4,44.79,1,4
NA,75,0,NA
3,73.05,1,3
4,72.48,1,3
3,7.65,1,4
3,11,1,17
6,40,1,16
1,38,1,1
1,12.8,1,1
3,14.37,1,1
1,7.97,1,4
3,58.25,1,5
1,14,1,6
4,18.59,1,5
4,63.38,1,5
6,5,1,7
1,74.8,1,1
4,35.03,1,2
1,20.15,1,1
1,7,1,7
4,120,1,2
7,32.67,1,8
5,6,1,1
2,200,1,1
7,1800,1,15
4,45.57,1,1
3,71.09,1,5
1,3,1,17
1,16.41,1,1
7,34.99,1,6
11,495,1,15
7,375.49,1,15
7,16,1,10
4,80,1,16
4,40,1,1
14,80.95,1,15
1,20,1,16
1,15.75,1,2
7,2702,1,15
6,1865,1,15
6,100,1,15
7,0.99,1,7
4,5.36,1,5
4,525.67,1,13
3,40,1,2
4,18,1,1
4,29,1,1
4,70.86,1,1
2,140.37,1,16
6,559,1,15
14,262.08,1,10
14,63,1,15
2,381.23,1,6
2,50,1,20
3,3.87,1,5
4,6.32,1,5
4,5.26,1,7
6,100,1,15
4,16.73,1,10
3,300,1,15
1,1,1,5
3,2.15,1,10
6,39.59,1,15
6,24.54,1,15
6,525,1,15
4,80,1,7
3,5.6,1,12
NA,130,0,NA
3,40,1,4
4,40,1,4
1,12,1,1
1,4,1,4
5,60,1,1
4,23.13,1,1
3,0.8,1,12
6,1423,1,14
4,36.1,1,4
4,18,1,1
6,101.96,1,8
6,376.49,1,19
6,75.58,1,5
1,15.15,1,4
6,662,1,14
3,3.15,1,4
4,245.79,1,15
3,48.3,1,3
1,9,1,4
3,51,1,3
4,25.79,1,2
1,6.5,1,2
3,2.73,1,4
4,4.93,1,4
1,25,1,2
4,208,1,10
4,5,1,4
3,4.16,1,4
4,226.23,1,1
1,100,1,16
2,1500,1,15
1,77,1,6
4,3.17,1,2
6,12,1,16
NA,77,0,NA
4,11.08,1,5
1,4.54,1,4
7,548,1,15
1,2.83,1,4
3,2.8,1,21
6,5,1,16
3,60.37,1,1
NA,27,0,NA
3,45.63,1,1
4,67.65,1,6
1,16,1,1
6,87,1,10
0,21.56,1,5
1,40,1,16
7,50,1,15
3,25,1,7
4,15.09,1,4
3,276.03,1,18
3,27.69,1,2
6,155.88,1,10
4,28.52,1,5
6,1770,1,15
NA,0,0,NA
3,200,1,15
3,64.34,1,5
3,192.78,1,1
NA,20,0,NA
NA,140,0,NA
10,10,1,16
3,9.57,1,1
4,132.98,1,14
4,6.12,1,4
3,5.1,1,1
5,25,1,2
NA,167,0,NA
4,5.24,1,4
4,100,1,17
4,108.72,1,10
1,77,1,5
4,23.54,1,4
8,700,1,14
4,74.49,1,5
NA,40,0,NA
6,59.08,1,10
3,42.32,1,1
4,105.54,1,10
3,15.81,1,1
6,200.37,1,15
3,32.5,1,3
1,1,1,13
6,40.04,1,15
3,78.2,1,5
3,7.5,1,4
3,48.91,1,1
1,80,1,4
4,4.81,1,5
4,272.62,1,10
1,20,1,5
3,134.79,1,12
1,14,1,3
1,3.57,1,4
7,500,1,15
7,800,1,15
4,200,1,8
2,605,1,14
2,335,1,15
1,30,1,4
3,20,1,5
7,2.35,1,20
3,499,1,5
4,67,1,7
7,2000,1,14
0,58,1,6
4,14.32,1,1
NA,40,0,NA
NA,50,0,NA
3,569,1,6
1,10,1,16
1,19.23,1,5
1,5,1,4
3,3.51,1,2
3,0.49,1,2
4,38.25,1,5
2,12,1,6
NA,15,0,NA
6,12.98,1,1
NA,174,0,NA
NA,50.93,0,NA
1,8,1,7
1,19,1,3
NA,11,0,NA
4,28.24,1,1
3,105.22,1,6
3,32.76,1,1
6,300,1,16
4,40.96,1,3
4,40.91,1,5
1,5,1,4
3,217.49,1,1
4,1030,1,16
3,28.91,1,14
6,306.5,1,15
1,8,1,3
4,30,1,2
1,25.5,1,7
3,559.37,1,1
4,110,1,16
3,38.5,1,3
3,13.26,1,5
13,4.99,1,10
3,5.5,1,7
1,200,1,16
7,782,1,15
3,381,1,18
3,43,1,1
5,20.57,1,1
3,2,1,4
3,10.75,1,1
4,39.17,1,5
1,40,1,5
3,5.29,1,2
1,12,1,6
3,22,1,3
1,3.5,1,16
1,50,1,1
3,68.29,1,2
4,651,1,3
3,64.6,1,1
1,3,1,7
3,40,1,6
1,29.68,1,5
NA,300,0,NA
5,12.5,1,5
3,16.8,1,4
3,16,1,18
NA,20,0,NA
3,17.16,1,4
4,3,1,7
4,51.75,1,2
4,23,1,7
3,38.95,1,4
3,15.89,1,3
6,170,1,7
3,20.83,1,3
3,14.02,1,5
4,18,1,6
1,2,1,6
NA,20,0,NA
4,54.3,1,5
11,350,1,19
4,12.99,1,12
4,8.59,1,12
1,5,1,1
7,79,1,10
1,75,1,6
3,7,1,1
4,30,1,5
4,67.92,1,5
4,650,1,14
4,2.7,1,21
4,47.6,1,5
4,31.28,1,3
3,35,1,1
3,25.12,1,5
4,97,1,1
4,32.35,1,5
3,22.03,1,4
4,20.13,1,5
3,69,1,7
4,11,1,4
1,2,1,1
3,4.26,1,5
1,32.89,1,4
NA,100,0,NA
3,4.82,1,4
10,114.45,1,5
4,112.92,1,5
3,52.99,1,6
3,5.87,1,4
5,12.5,1,4
0,16.85,1,4
1,1,1,4
1,6.96,1,4
4,9.29,1,5
1,3,1,2
5,25.97,1,3
3,5.5,1,1
4,20,1,1
3,44.74,1,4
4,185,1,1
6,1.92,1,10
3,288.16,1,1
3,56.11,1,5
3,128.43,1,1
1,4,1,1
4,1.49,1,1
3,4.62,1,2
4,72,1,10
4,10.49,1,5
3,12.22,1,1
3,22.46,1,4
2,1939.45,1,14
4,20,1,4
3,16.65,1,1
4,25.99,1,1
3,50.23,1,5
13,226.88,1,1
4,6.08,1,1
1,20,1,16
3,140,1,5
3,5.98,1,5
4,15.75,1,4
NA,10,0,NA
3,30.17,1,3
3,32.69,1,5
3,13.32,1,5
4,34.01,1,2
4,12.4,1,2
4,62.9,1,3
3,175,1,8
4,20.95,1,1
3,14.03,1,5
4,95.05,1,1
3,55,1,6
3,64.95,1,3
7,20,1,8
4,39.2,1,5
3,9.93,1,1
3,81,1,20
4,4.68,1,4
3,61,1,7
3,14.99,1,2
5,49.4,1,1
4,111.74,1,3
4,10.88,1,5
4,10,1,2
4,23.99,1,1
4,126.64,1,8
NA,25,0,NA
3,53.55,1,1
3,75.1,1,5
1,3.04,1,4
1,10.55,1,1
3,12.89,1,1
1,17.85,1,4
4,3,1,5
1,2,1,1
4,16.73,1,5
4,20.83,1,5
NA,30,0,NA
4,49.69,1,3
1,40,1,1
4,20,1,17
4,218.01,1,1
3,6,1,1
3,41.88,1,2
